"species","n_recordings_clearly_detected","correctly_identified_1st_threshold","incorrectly_identified_1st_threshold","correctly_identified_2nd_threshold","incorrectly_identified_2nd_threshold","correctly_identified_3rd_threshold","incorrectly_identified_3rd_threshold","non_present_species_1st_threshold","non_present_species_2nd_threshold","non_present_species_3rd_threshold"
"Poecile palustris","2","0","3","0","0","0","0","0","0","0"
"Prunella modularis","9","7","4","4","0","4","0","0","0","0"
"Pyrrhocorax graculus","1","0","0","0","0","0","0","0","0","0"
"Pyrrhocorax pyrrhocorax","2","0","0","0","0","0","0","0","0","0"
"Pyrrhula pyrrhula","0","0","4","0","0","0","0","4","0","0"
"Regulus ignicapilla","6","5","2","3","1","2","0","0","0","0"
"Regulus regulus","1","1","6","1","0","1","0","0","0","0"
"Saxicola rubetra","0","0","6","0","0","0","0","6","0","0"
"Saxicola rubicola","8","7","5","5","2","3","1","0","0","0"
"Serinus serinus","3","0","0","0","0","0","0","0","0","0"
"Sitta europaea","3","0","0","0","0","0","0","0","0","0"
"Streptopelia decaocto","27","0","0","0","0","0","0","0","0","0"
"Streptopelia turtur","12","2","0","2","0","1","0","0","0","0"
"Strix aluco","3","1","3","1","1","1","0","0","0","0"
"Sturnus unicolor","0","0","1","0","0","0","0","1","0","0"
"Sturnus vulgaris","2","0","0","0","0","0","0","0","0","0"
"Sylvia atricapilla","127","30","0","12","0","10","0","0","0","0"
"Sylvia borin","0","0","6","0","0","0","0","6","0","0"
"Tachybaptus ruficollis","0","0","1","0","0","0","0","1","0","0"
"Troglodytes troglodytes","25","6","0","2","0","1","0","0","0","0"
"Turdus merula","93","4","0","3","0","2","0","0","0","0"
"Turdus philomelos","14","1","0","1","0","1","0","0","0","0"
"Turdus viscivorus","5","1","3","1","1","1","0","0","0","0"
"Upupa epops","1","0","0","0","0","0","0","0","0","0"
"Total detections","1072","233","194","131","21","102","7","83","8","2"
"Total species","74","45","67","42","16","38","7","34","6","2"
