"species","n_recordings_clearly_detected","correctly_identified_1st_threshold","incorrectly_identified_1st_threshold","correctly_identified_2nd_threshold","incorrectly_identified_2nd_threshold","correctly_identified_3rd_threshold","incorrectly_identified_3rd_threshold","non_present_species_1st_threshold","non_present_species_2nd_threshold","non_present_species_3rd_threshold"
"Phoenicurus phoenicurus","0","0","2","0","1","0","1","2","1","1"
"Phylloscopus bonelli","3","0","2","0","0","0","0","0","0","0"
"Phylloscopus collybita","43","16","0","12","0","9","0","0","0","0"
"Phylloscopus ibericus","0","0","1","0","0","0","0","1","0","0"
"Phylloscopus trochilus","0","0","1","0","0","0","0","1","0","0"
"Pica pica","10","1","0","1","0","1","0","0","0","0"
"Picus sharpei","2","0","0","0","0","0","0","0","0","0"
"Picus viridis","4","2","2","2","0","1","0","0","0","0"
"Podiceps cristatus","0","0","1","0","0","0","0","1","0","0"
"Poecile palustris","2","0","1","0","0","0","0","0","0","0"
"Prunella modularis","9","8","1","4","0","3","0","0","0","0"
"Pyrrhocorax graculus","1","0","0","0","0","0","0","0","0","0"
"Pyrrhocorax pyrrhocorax","2","0","0","0","0","0","0","0","0","0"
"Regulus ignicapilla","6","5","3","3","0","2","0","0","0","0"
"Regulus regulus","1","1","1","1","0","1","0","0","0","0"
"Saxicola rubetra","0","0","1","0","0","0","0","1","0","0"
"Saxicola rubicola","8","5","2","3","0","1","0","0","0","0"
"Serinus serinus","3","0","0","0","0","0","0","0","0","0"
"Sitta europaea","3","0","0","0","0","0","0","0","0","0"
"Streptopelia decaocto","27","0","0","0","0","0","0","0","0","0"
"Streptopelia turtur","12","9","2","8","0","5","0","0","0","0"
"Strix aluco","3","2","7","2","3","1","1","0","0","0"
"Sturnus vulgaris","2","0","0","0","0","0","0","0","0","0"
"Sylvia atricapilla","127","43","1","22","0","12","0","0","0","0"
"Sylvia borin","0","0","8","0","0","0","0","8","0","0"
"Tringa nebularia","0","0","1","0","0","0","0","1","0","0"
"Tringa ochropus","0","0","1","0","0","0","0","1","0","0"
"Troglodytes troglodytes","25","7","2","4","0","2","0","0","0","0"
"Turdus merula","93","8","0","3","0","2","0","0","0","0"
"Turdus philomelos","14","2","0","1","0","1","0","0","0","0"
"Turdus viscivorus","5","1","0","1","0","1","0","0","0","0"
"Tyto alba","0","0","1","0","0","0","0","1","0","0"
"Upupa epops","1","0","1","0","0","0","0","0","0","0"
"Total detections","1072","275","127","172","18","114","6","46","8","1"
"Total species","74","46","69","43","15","36","5","31","8","1"
