0.000000	60.052750	Vent
\	-1.000000	2133.837646
0.000000	2.694836	Ant tri 1 1 1
\	2002.855103	-1.000000
2.896949	5.229666	Fri coe 1 1 1
\	2168.042969	7162.378418
5.431779	5.718105	Oiseau sp. 1 1
\	2133.837646	2729.277832
6.139174	8.690847	Pic sha 1 1 1
\	2005.376343	2985.894531
11.326733	13.827878	Fri coe 1 1 4
\	2019.357178	6071.675781
12.893107	14.754228	Ant tri 1 1 4
\	1617.768799	7883.630859
15.040554	15.520572	Lop cri 1 1 1
\	2624.843018	4094.140381
15.520572	15.773213	Oiseau sp. 1 1
\	2590.742920	3344.244385
16.143753	16.691141	Oiseau sp. 1 1
\	2800.717285	4118.916992
18.291200	21.002879	Pic sha 1 1 4
\	1991.467285	3180.867432
18.729111	23.007163	Ant tri 1 1 4
\	1791.209717	8573.632812
19.697568	21.710274	Fri coe 1 1 4
\	2377.459717	5101.476074
24.548273	27.116789	Lop cri 1 1 4
\	2694.106689	7163.484375
26.097804	27.495750	Oiseau sp. 1 4
\	3302.766846	7883.630859
26.771513	28.337886	Pic sha 0 1 4
\	2457.804932	3141.064209
28.413678	30.839031	Fri coe 1 1 1
\	2119.268555	5632.781738
30.434806	32.792787	Pic sha 1 1 4
\	1991.467285	3024.089355
31.605375	33.239119	Oiseau sp. 1 1
\	4143.820312	8199.000977
33.735980	36.270810	Ant tri 1 1 1
\	2019.357178	-1.000000
38.763533	39.470928	Par maj 1 2 1
\	6177.203613	8199.000977
40.372014	42.797366	Fri coe 1 1 4
\	2061.735352	8431.332031
42.031022	43.235277	Par maj 1 2 1
\	6616.020020	8815.744141
42.797366	43.757402	Ant tri 0 1 1
\	2855.271729	3737.434326
43.580553	46.881727	Pic sha 1 1 1
\	2090.353516	3024.089355
44.658488	44.944814	Oiseau sp. 1 1
\	4533.193359	5831.696777
47.016469	47.639650	Oiseau sp. 1 1
\	2377.459717	3282.187256
47.639650	49.096546	Syl atr 0 1 1
\	2694.106689	5933.484863
51.311364	53.416705	Fri coe 1 1 1
\	1909.501831	8718.150391
54.511482	55.884164	Fri coe 0 2 1
\	2624.843018	3302.766846
