"recording_id","commune","latitude","longitude","species"
191,"Ascou",1.972673,42.721411,"Anthus trivialis"
191,"Ascou",1.972673,42.721411,"Carduelis citrinella"
191,"Ascou",1.972673,42.721411,"Lophophanes cristatus"
191,"Ascou",1.972673,42.721411,"Loxia curvirostra"
191,"Ascou",1.972673,42.721411,"Prunella modularis"
191,"Ascou",1.972673,42.721411,"Saxicola rubicola"
191,"Ascou",1.972673,42.721411,"Sylvia atricapilla"
191,"Ascou",1.972673,42.721411,"Turdus philomelos"
192,"Ascou",1.972673,42.721411,"Fringilla coelebs"
192,"Ascou",1.972673,42.721411,"Periparus ater"
192,"Ascou",1.972673,42.721411,"Prunella modularis"
192,"Ascou",1.972673,42.721411,"Saxicola rubicola"
194,"Mijanès",1.975031,42.69566,"Fringilla coelebs"
194,"Mijanès",1.975031,42.69566,"Periparus ater"
194,"Mijanès",1.975031,42.69566,"Phoenicurus ochruros"
194,"Mijanès",1.975031,42.69566,"Pyrrhocorax graculus"
194,"Mijanès",1.975031,42.69566,"Pyrrhocorax pyrrhocorax"
195,"Mijanès",1.975031,42.69566,"Fringilla coelebs"
195,"Mijanès",1.975031,42.69566,"Phoenicurus ochruros"
195,"Mijanès",1.975031,42.69566,"Sylvia atricapilla"
197,"Bethmale",1.07248,42.85093,"Anthus spinoletta"
197,"Bethmale",1.07248,42.85093,"Emberiza cia"
197,"Bethmale",1.07248,42.85093,"Monticola saxatilis"
197,"Bethmale",1.07248,42.85093,"Prunella modularis"
197,"Bethmale",1.07248,42.85093,"Sylvia atricapilla"
197,"Bethmale",1.07248,42.85093,"Troglodytes troglodytes"
200,"Sentein",0.955438,42.824579,"Anthus spinoletta"
200,"Sentein",0.955438,42.824579,"Oenanthe oenanthe"
201,"Sentein",0.955438,42.824579,"Anthus spinoletta"
201,"Sentein",0.955438,42.824579,"Corvus corone"
203,"Goulier",1.514719,42.744627,"Anthus trivialis"
203,"Goulier",1.514719,42.744627,"Erithacus rubecula"
203,"Goulier",1.514719,42.744627,"Fringilla coelebs"
203,"Goulier",1.514719,42.744627,"Sylvia atricapilla"
203,"Goulier",1.514719,42.744627,"Turdus merula"
204,"Goulier",1.514719,42.744627,"Anthus trivialis"
204,"Goulier",1.514719,42.744627,"Cyanistes caeruleus"
204,"Goulier",1.514719,42.744627,"Erithacus rubecula"
204,"Goulier",1.514719,42.744627,"Fringilla coelebs"
204,"Goulier",1.514719,42.744627,"Periparus ater"
204,"Goulier",1.514719,42.744627,"Sylvia atricapilla"
206,"Ustou",1.297619,42.774006,"Periparus ater"
206,"Ustou",1.297619,42.774006,"Phylloscopus collybita"
206,"Ustou",1.297619,42.774006,"Sylvia atricapilla"
207,"Ustou",1.297619,42.774006,"Fringilla coelebs"
207,"Ustou",1.297619,42.774006,"Phylloscopus collybita"
209,"Antras",0.877045,42.861577,"Corvus corone"
209,"Antras",0.877045,42.861577,"Fringilla coelebs"
209,"Antras",0.877045,42.861577,"Lullula arborea"
209,"Antras",0.877045,42.861577,"Poecile palustris"
210,"Antras",0.877045,42.861577,"Anthus trivialis"
210,"Antras",0.877045,42.861577,"Fringilla coelebs"
210,"Antras",0.877045,42.861577,"Lullula arborea"
212,"Cassou",1.807893,42.791288,"Alauda arvensis"
212,"Cassou",1.807893,42.791288,"Fringilla coelebs"
212,"Cassou",1.807893,42.791288,"Sylvia atricapilla"
