Scientific_name,English_name
Chlorestes candida,White-bellied Emerald
Chlorestes eliciae,Blue-throated Goldentail
Chlorestes cyanus,White-chinned Sapphire
Chlorestes julie,Violet-bellied Hummingbird
Chlorestes notata,Blue-chinned Sapphire
Opisthocomus hoazin,Hoatzin
Mentocrex kioloides,Madagascar Wood-Rail
Mentocrex beankaensis,Tsingy Wood-Rail
Sarothrura pulchra,White-spotted Flufftail
Sarothrura elegans,Buff-spotted Flufftail
Sarothrura rufa,Red-chested Flufftail
Sarothrura lugens,Chestnut-headed Flufftail
Sarothrura boehmi,Streaky-breasted Flufftail
Sarothrura affinis,Striped Flufftail
Sarothrura insularis,Madagascar Flufftail
Sarothrura ayresi,White-winged Flufftail
Sarothrura watersi,Slender-billed Flufftail
Rallus obsoletus,Ridgway's Rail
Rallus tenuirostris,Aztec Rail
Rallus longirostris,Mangrove Rail
Rallus elegans,King Rail
Rallus crepitans,Clapper Rail
Rallus wetmorei,Plain-flanked Rail
Rallus limicola,Virginia Rail
Rallus semiplumbeus,Bogota Rail
Rallus antarcticus,Austral Rail
Rallus aquaticus,Water Rail
Rallus indicus,Brown-cheeked Rail
Rallus caerulescens,African Rail
Rallus madagascariensis,Madagascar Rail
Dryolimnas cuvieri,White-throated Rail
Dryolimnas augusti,Reunion Rail
Aphanapteryx bonasia,Red Rail
Erythromachus leguati,Rodrigues Rail
Crex crex,Corn Crake
Crex egregia,African Crake
Rougetius rougetii,Rouget's Rail
Atlantisia rogersi,Inaccessible Island Rail
Atlantisia podarces,St. Helena Crake
Mundia elpenor,Ascension Crake
Aramidopsis plateni,Snoring Rail
Lewinia striata,Slaty-breasted Rail
Lewinia mirifica,Luzon Rail
Lewinia pectoralis,Lewin's Rail
Lewinia muelleri,Auckland Islands Rail
Gymnocrex rosenbergii,Blue-faced Rail
Gymnocrex plumbeiventris,Bare-eyed Rail
Gymnocrex talaudensis,Talaud Rail
Diaphorapteryx hawkinsi,Hawkins's Rail
Gallirallus calayanensis,Calayan Rail
Gallirallus wallacii,Invisible Rail
Gallirallus castaneoventris,Chestnut Rail
Gallirallus australis,Weka
Gallirallus lafresnayanus,New Caledonian Rail
Gallirallus sylvestris,Lord Howe Rail
Gallirallus okinawae,Okinawa Rail
Gallirallus pacificus,Tahiti Rail
Gallirallus philippensis,Buff-banded Rail
Gallirallus modestus,Chatham Islands Rail
Gallirallus dieffenbachii,Dieffenbach's Rail
Gallirallus insignis,New Britain Rail
Gallirallus woodfordi,Woodford's Rail
Gallirallus poecilopterus,Bar-winged Rail
Gallirallus owstoni,Guam Rail
Gallirallus wakensis,Wake Island Rail
Gallirallus torquatus,Barred Rail
Gallirallus rovianae,Roviana Rail
Canirallus oculeus,Gray-throated Rail
Mustelirallus albicollis,Ash-throated Crake
Mustelirallus colombianus,Colombian Crake
Mustelirallus erythrops,Paint-billed Crake
Cyanolimnas cerverai,Zapata Rail
Pardirallus maculatus,Spotted Rail
Pardirallus nigricans,Blackish Rail
Pardirallus sanguinolentus,Plumbeous Rail
Amaurolimnas concolor,Uniform Crake
Aramides ypecaha,Giant Wood-Rail
Aramides wolfi,Brown Wood-Rail
Aramides mangle,Little Wood-Rail
Aramides axillaris,Rufous-necked Wood-Rail
Aramides albiventris,Russet-naped Wood-Rail
Aramides cajaneus,Gray-cowled Wood-Rail
Aramides calopterus,Red-winged Wood-Rail
Aramides saracura,Slaty-breasted Wood-Rail
Tribonyx ventralis,Black-tailed Nativehen
Tribonyx hodgenorum,Hodgen's Waterhen
Tribonyx mortierii,Tasmanian Nativehen
Porphyriops melanops,Spot-flanked Gallinule
Porzana carolina,Sora
Porzana porzana,Spotted Crake
Porzana fluminea,Australian Crake
Porzana spiloptera,Dot-winged Crake
Paragallinula angulata,Lesser Moorhen
Gallinula silvestris,Makira Moorhen
Gallinula nesiotis,Tristan Moorhen
Gallinula comeri,Gough Moorhen
Gallinula chloropus,Eurasian Moorhen
Gallinula galeata,Common Gallinule
Gallinula tenebrosa,Dusky Moorhen
Gallinula pacifica,Samoan Moorhen
Fulica rufifrons,Red-fronted Coot
Fulica cornuta,Horned Coot
Fulica gigantea,Giant Coot
Fulica armillata,Red-gartered Coot
Fulica atra,Eurasian Coot
Fulica newtonii,Mascarene Coot
Fulica cristata,Red-knobbed Coot
Fulica alai,Hawaiian Coot
Fulica americana,American Coot
Fulica ardesiaca,Slate-colored Coot
Fulica leucoptera,White-winged Coot
Porphyrio alleni,Allen's Gallinule
Porphyrio martinica,Purple Gallinule
Porphyrio flavirostris,Azure Gallinule
Porphyrio paepae,Marquesan Swamphen
Porphyrio kukwiedei,New Caledonian Gallinule
Porphyrio caerulescens,Reunion Gallinule
Porphyrio porphyrio,Western Swamphen
Porphyrio indicus,Black-backed Swamphen
Porphyrio madagascariensis,African Swamphen
Porphyrio hochstetteri,South Island Takahe
Porphyrio mantelli,North Island Takahe
Porphyrio melanotus,Australasian Swamphen
Porphyrio pulverulentus,Philippine Swamphen
Porphyrio albus,Lord Howe Swamphen
Porphyrio poliocephalus,Gray-headed Swamphen
Himantornis haematopus,Nkulengu Rail
Poliolimnas cinereus,White-browed Crake
Megacrex inepta,New Guinea Flightless Rail
Gallicrex cinerea,Watercock
Amaurornis isabellina,Isabelline Bush-hen
Amaurornis olivacea,Plain Bush-hen
Amaurornis phoenicurus,White-breasted Waterhen
Amaurornis magnirostris,Talaud Bush-hen
Amaurornis moluccana,Pale-vented Bush-hen
Amaurornis marginalis,Striped Crake
Rallina rubra,Chestnut Forest-Rail
Rallina leucospila,White-striped Forest-Rail
Rallina forbesi,Forbes's Rail
Rallina mayri,Mayr's Rail
Rallina tricolor,Red-necked Crake
Rallina canningi,Andaman Crake
Rallina fasciata,Red-legged Crake
Rallina eurizonoides,Slaty-legged Crake
Zapornia fusca,Ruddy-breasted Crake
Zapornia paykullii,Band-bellied Crake
Zapornia akool,Brown Crake
Zapornia flavirostra,Black Crake
Zapornia parva,Little Crake
Zapornia pusilla,Baillon's Crake
Zapornia astrictocarpus,St. Helena Rail
Zapornia palmeri,Laysan Rail
Zapornia olivieri,Sakalava Rail
Zapornia bicolor,Black-tailed Crake
Zapornia sandwichensis,Hawaiian Rail
Zapornia nigra,Miller's Rail
Zapornia atra,Henderson Island Crake
Zapornia tabuensis,Spotless Crake
Zapornia monasa,Kosrae Crake
Micropygia schomburgkii,Ocellated Crake
Anurolimnas castaneiceps,Chestnut-headed Crake
Anurolimnas viridis,Russet-crowned Crake
Anurolimnas fasciatus,Black-banded Crake
Coturnicops exquisitus,Swinhoe's Rail
Coturnicops noveboracensis,Yellow Rail
Coturnicops notatus,Speckled Rail
Hapalocrex flaviventer,Yellow-breasted Crake
Laterallus levraudi,Rusty-flanked Crake
Laterallus melanophaius,Rufous-sided Crake
Laterallus ruber,Ruddy Crake
Laterallus albigularis,White-throated Crake
Laterallus exilis,Gray-breasted Crake
Laterallus spilonota,Galapagos Rail
Laterallus jamaicensis,Black Rail
Laterallus leucopyrrhus,Red-and-white Crake
Laterallus xenopterus,Rufous-faced Crake
Podica senegalensis,African Finfoot
Heliopais personatus,Masked Finfoot
Heliornis fulica,Sungrebe
Aramus guarauna,Limpkin
Psophia crepitans,Gray-winged Trumpeter
Psophia leucoptera,Pale-winged Trumpeter
Psophia viridis,Dark-winged Trumpeter
Balearica regulorum,Gray Crowned-Crane
Balearica pavonina,Black Crowned-Crane
Anthropoides virgo,Demoiselle Crane
Anthropoides paradiseus,Blue Crane
Bugeranus carunculatus,Wattled Crane
Leucogeranus leucogeranus,Siberian Crane
Antigone canadensis,Sandhill Crane
Antigone antigone,Sarus Crane
Antigone rubicunda,Brolga
Antigone vipio,White-naped Crane
Grus grus,Common Crane
Grus monacha,Hooded Crane
Grus americana,Whooping Crane
Grus nigricollis,Black-necked Crane
Grus japonensis,Red-crowned Crane
Chionis albus,Snowy Sheathbill
Chionis minor,Black-faced Sheathbill
Pluvianellus socialis,Magellanic Plover
Burhinus vermiculatus,Water Thick-knee
Burhinus oedicnemus,Eurasian Thick-knee
Burhinus indicus,Indian Thick-knee
Burhinus senegalensis,Senegal Thick-knee
Burhinus capensis,Spotted Thick-knee
Burhinus bistriatus,Double-striped Thick-knee
Burhinus superciliaris,Peruvian Thick-knee
Burhinus grallarius,Bush Thick-knee
Esacus recurvirostris,Great Thick-knee
Esacus magnirostris,Beach Thick-knee
Pluvianus aegyptius,Egyptian Plover
Himantopus himantopus,Black-winged Stilt
Himantopus leucocephalus,Pied Stilt
Himantopus novaezelandiae,Black Stilt
Himantopus mexicanus,Black-necked Stilt
Cladorhynchus leucocephalus,Banded Stilt
Recurvirostra avosetta,Pied Avocet
Recurvirostra novaehollandiae,Red-necked Avocet
Recurvirostra andina,Andean Avocet
Recurvirostra americana,American Avocet
Ibidorhyncha struthersii,Ibisbill
Haematopus ostralegus,Eurasian Oystercatcher
Haematopus longirostris,Pied Oystercatcher
Haematopus finschi,South Island Oystercatcher
Haematopus chathamensis,Chatham Oystercatcher
Haematopus unicolor,Variable Oystercatcher
Haematopus fuliginosus,Sooty Oystercatcher
Haematopus palliatus,American Oystercatcher
Haematopus moquini,African Oystercatcher
Haematopus meadewaldoi,Canarian Oystercatcher
Haematopus ater,Blackish Oystercatcher
Haematopus leucopodus,Magellanic Oystercatcher
Haematopus bachmani,Black Oystercatcher
Pluvialis squatarola,Black-bellied Plover
Pluvialis apricaria,European Golden-Plover
Pluvialis dominica,American Golden-Plover
Pluvialis fulva,Pacific Golden-Plover
Oreopholus ruficollis,Tawny-throated Dotterel
Vanellus vanellus,Northern Lapwing
Vanellus crassirostris,Long-toed Lapwing
Vanellus armatus,Blacksmith Lapwing
Vanellus spinosus,Spur-winged Lapwing
Vanellus duvaucelii,River Lapwing
Vanellus malabaricus,Yellow-wattled Lapwing
Vanellus tectus,Black-headed Lapwing
Vanellus albiceps,White-headed Lapwing
Vanellus lugubris,Senegal Lapwing
Vanellus melanopterus,Black-winged Lapwing
Vanellus coronatus,Crowned Lapwing
Vanellus senegallus,Wattled Lapwing
Vanellus melanocephalus,Spot-breasted Lapwing
Vanellus superciliosus,Brown-chested Lapwing
Vanellus cinereus,Gray-headed Lapwing
Vanellus indicus,Red-wattled Lapwing
Vanellus macropterus,Javan Lapwing
Vanellus tricolor,Banded Lapwing
Vanellus miles,Masked Lapwing
Vanellus gregarius,Sociable Lapwing
Vanellus leucurus,White-tailed Lapwing
Vanellus cayanus,Pied Lapwing
Vanellus chilensis,Southern Lapwing
Vanellus resplendens,Andean Lapwing
Charadrius obscurus,Red-breasted Dotterel
Charadrius mongolus,Lesser Sand-Plover
Charadrius leschenaultii,Greater Sand-Plover
Charadrius asiaticus,Caspian Plover
Charadrius collaris,Collared Plover
Charadrius alticola,Puna Plover
Charadrius falklandicus,Two-banded Plover
Charadrius bicinctus,Double-banded Plover
Charadrius pecuarius,Kittlitz's Plover
Charadrius ruficapillus,Red-capped Plover
Charadrius peronii,Malaysian Plover
Charadrius alexandrinus,Kentish Plover
Charadrius dealbatus,White-faced Plover
Charadrius nivosus,Snowy Plover
Charadrius javanicus,Javan Plover
Charadrius wilsonia,Wilson's Plover
Charadrius hiaticula,Common Ringed Plover
Charadrius semipalmatus,Semipalmated Plover
Charadrius placidus,Long-billed Plover
Charadrius melodus,Piping Plover
Charadrius thoracicus,Madagascar Plover
Charadrius dubius,Little Ringed Plover
Charadrius tricollaris,Three-banded Plover
Charadrius forbesi,Forbes's Plover
Charadrius marginatus,White-fronted Plover
Charadrius pallidus,Chestnut-banded Plover
Charadrius vociferus,Killdeer
Charadrius montanus,Mountain Plover
Charadrius veredus,Oriental Plover
Charadrius morinellus,Eurasian Dotterel
Charadrius sanctaehelenae,St. Helena Plover
Charadrius modestus,Rufous-chested Dotterel
Erythrogonys cinctus,Red-kneed Dotterel
Thinornis cucullatus,Hooded Plover
Thinornis novaeseelandiae,Shore Plover
Elseyornis melanops,Black-fronted Dotterel
Peltohyas australis,Inland Dotterel
Anarhynchus frontalis,Wrybill
Phegornis mitchellii,Diademed Sandpiper-Plover
Pedionomus torquatus,Plains-wanderer
Attagis gayi,Rufous-bellied Seedsnipe
Attagis malouinus,White-bellied Seedsnipe
Thinocorus orbignyianus,Gray-breasted Seedsnipe
Thinocorus rumicivorus,Least Seedsnipe
Rostratula benghalensis,Greater Painted-Snipe
Rostratula australis,Australian Painted-Snipe
Nycticryphes semicollaris,South American Painted-Snipe
Microparra capensis,Lesser Jacana
Actophilornis africanus,African Jacana
Actophilornis albinucha,Madagascar Jacana
Irediparra gallinacea,Comb-crested Jacana
Hydrophasianus chirurgus,Pheasant-tailed Jacana
Metopidius indicus,Bronze-winged Jacana
Jacana spinosa,Northern Jacana
Jacana jacana,Wattled Jacana
Bartramia longicauda,Upland Sandpiper
Numenius tahitiensis,Bristle-thighed Curlew
Numenius phaeopus,Whimbrel
Numenius minutus,Little Curlew
Numenius borealis,Eskimo Curlew
Numenius americanus,Long-billed Curlew
Numenius madagascariensis,Far Eastern Curlew
Numenius tenuirostris,Slender-billed Curlew
Numenius arquata,Eurasian Curlew
Limosa lapponica,Bar-tailed Godwit
Limosa limosa,Black-tailed Godwit
Limosa haemastica,Hudsonian Godwit
Limosa fedoa,Marbled Godwit
Arenaria interpres,Ruddy Turnstone
Arenaria melanocephala,Black Turnstone
Prosobonia cancellata,Kiritimati Sandpiper
Prosobonia leucoptera,White-winged Sandpiper
Prosobonia ellisi,Moorea Sandpiper
Prosobonia parvirostris,Tuamotu Sandpiper
Calidris tenuirostris,Great Knot
Calidris canutus,Red Knot
Calidris virgata,Surfbird
Calidris pugnax,Ruff
Calidris falcinellus,Broad-billed Sandpiper
Calidris acuminata,Sharp-tailed Sandpiper
Calidris himantopus,Stilt Sandpiper
Calidris ferruginea,Curlew Sandpiper
Calidris temminckii,Temminck's Stint
Calidris subminuta,Long-toed Stint
Calidris pygmaea,Spoon-billed Sandpiper
Calidris ruficollis,Red-necked Stint
Calidris alba,Sanderling
Calidris alpina,Dunlin
Calidris ptilocnemis,Rock Sandpiper
Calidris maritima,Purple Sandpiper
Calidris bairdii,Baird's Sandpiper
Calidris minuta,Little Stint
Calidris minutilla,Least Sandpiper
Calidris fuscicollis,White-rumped Sandpiper
Calidris subruficollis,Buff-breasted Sandpiper
Calidris melanotos,Pectoral Sandpiper
Calidris pusilla,Semipalmated Sandpiper
Calidris mauri,Western Sandpiper
Limnodromus semipalmatus,Asian Dowitcher
Limnodromus griseus,Short-billed Dowitcher
Limnodromus scolopaceus,Long-billed Dowitcher
Lymnocryptes minimus,Jack Snipe
Scolopax rusticola,Eurasian Woodcock
Scolopax mira,Amami Woodcock
Scolopax bukidnonensis,Bukidnon Woodcock
Scolopax saturata,Javan Woodcock
Scolopax rosenbergii,New Guinea Woodcock
Scolopax celebensis,Sulawesi Woodcock
Scolopax rochussenii,Moluccan Woodcock
Scolopax minor,American Woodcock
Coenocorypha barrierensis,North Island Snipe
Coenocorypha iredalei,South Island Snipe
Coenocorypha pusilla,Chatham Islands Snipe
Coenocorypha huegeli,Snares Island Snipe
Coenocorypha aucklandica,Subantarctic Snipe
Gallinago imperialis,Imperial Snipe
Gallinago jamesoni,Jameson's Snipe
Gallinago stricklandii,Fuegian Snipe
Gallinago solitaria,Solitary Snipe
Gallinago hardwickii,Latham's Snipe
Gallinago nemoricola,Wood Snipe
Gallinago media,Great Snipe
Gallinago gallinago,Common Snipe
Gallinago delicata,Wilson's Snipe
Gallinago paraguaiae,Paraguayan Snipe
Gallinago magellanica,Magellanic Snipe
Gallinago andina,Puna Snipe
Gallinago nobilis,Noble Snipe
Gallinago stenura,Pin-tailed Snipe
Gallinago megala,Swinhoe's Snipe
Gallinago nigripennis,African Snipe
Gallinago macrodactyla,Madagascar Snipe
Gallinago undulata,Giant Snipe
Xenus cinereus,Terek Sandpiper
Phalaropus tricolor,Wilson's Phalarope
Phalaropus lobatus,Red-necked Phalarope
Phalaropus fulicarius,Red Phalarope
Actitis hypoleucos,Common Sandpiper
Actitis macularius,Spotted Sandpiper
Tringa ochropus,Green Sandpiper
Tringa solitaria,Solitary Sandpiper
Tringa brevipes,Gray-tailed Tattler
Tringa incana,Wandering Tattler
Tringa erythropus,Spotted Redshank
Tringa melanoleuca,Greater Yellowlegs
Tringa nebularia,Common Greenshank
Tringa guttifer,Nordmann's Greenshank
Tringa semipalmata,Willet
Tringa flavipes,Lesser Yellowlegs
Tringa stagnatilis,Marsh Sandpiper
Tringa glareola,Wood Sandpiper
Tringa totanus,Common Redshank
Turnix sylvaticus,Small Buttonquail
Turnix maculosus,Red-backed Buttonquail
Turnix nanus,Black-rumped Buttonquail
Turnix hottentottus,Fynbos Buttonquail
Turnix tanki,Yellow-legged Buttonquail
Turnix ocellatus,Spotted Buttonquail
Turnix suscitator,Barred Buttonquail
Turnix nigricollis,Madagascar Buttonquail
Turnix melanogaster,Black-breasted Buttonquail
Turnix castanotus,Chestnut-backed Buttonquail
Turnix olivii,Buff-breasted Buttonquail
Turnix varius,Painted Buttonquail
Turnix worcesteri,Luzon Buttonquail
Turnix everetti,Sumba Buttonquail
Turnix pyrrhothorax,Red-chested Buttonquail
Turnix velox,Little Buttonquail
Ortyxelos meiffrenii,Quail-plover
Dromas ardeola,Crab-Plover
Cursorius cursor,Cream-colored Courser
Cursorius somalensis,Somali Courser
Cursorius rufus,Burchell's Courser
Cursorius temminckii,Temminck's Courser
Cursorius coromandelicus,Indian Courser
Smutsornis africanus,Double-banded Courser
Rhinoptilus cinctus,Three-banded Courser
Rhinoptilus chalcopterus,Bronze-winged Courser
Rhinoptilus bitorquatus,Jerdon's Courser
Stiltia isabella,Australian Pratincole
Glareola pratincola,Collared Pratincole
Glareola maldivarum,Oriental Pratincole
Glareola nordmanni,Black-winged Pratincole
Glareola ocularis,Madagascar Pratincole
Glareola nuchalis,Rock Pratincole
Glareola cinerea,Gray Pratincole
Glareola lactea,Small Pratincole
Stercorarius skua,Great Skua
Stercorarius chilensis,Chilean Skua
Stercorarius maccormicki,South Polar Skua
Stercorarius antarcticus,Brown Skua
Stercorarius pomarinus,Pomarine Jaeger
Stercorarius parasiticus,Parasitic Jaeger
Stercorarius longicaudus,Long-tailed Jaeger
Alle alle,Dovekie
Uria aalge,Common Murre
Uria lomvia,Thick-billed Murre
Alca torda,Razorbill
Pinguinus impennis,Great Auk
Cepphus grylle,Black Guillemot
Cepphus columba,Pigeon Guillemot
Cepphus carbo,Spectacled Guillemot
Brachyramphus perdix,Long-billed Murrelet
Brachyramphus marmoratus,Marbled Murrelet
Brachyramphus brevirostris,Kittlitz's Murrelet
Synthliboramphus scrippsi,Scripps's Murrelet
Synthliboramphus hypoleucus,Guadalupe Murrelet
Synthliboramphus craveri,Craveri's Murrelet
Synthliboramphus antiquus,Ancient Murrelet
Synthliboramphus wumizusume,Japanese Murrelet
Ptychoramphus aleuticus,Cassin's Auklet
Aethia psittacula,Parakeet Auklet
Aethia pusilla,Least Auklet
Aethia pygmaea,Whiskered Auklet
Aethia cristatella,Crested Auklet
Cerorhinca monocerata,Rhinoceros Auklet
Fratercula arctica,Atlantic Puffin
Fratercula corniculata,Horned Puffin
Fratercula cirrhata,Tufted Puffin
Creagrus furcatus,Swallow-tailed Gull
Rissa tridactyla,Black-legged Kittiwake
Rissa brevirostris,Red-legged Kittiwake
Pagophila eburnea,Ivory Gull
Xema sabini,Sabine's Gull
Saundersilarus saundersi,Saunders's Gull
Chroicocephalus genei,Slender-billed Gull
Chroicocephalus philadelphia,Bonaparte's Gull
Chroicocephalus serranus,Andean Gull
Chroicocephalus maculipennis,Brown-hooded Gull
Chroicocephalus bulleri,Black-billed Gull
Chroicocephalus novaehollandiae,Silver Gull
Chroicocephalus cirrocephalus,Gray-hooded Gull
Chroicocephalus hartlaubii,Hartlaub's Gull
Chroicocephalus ridibundus,Black-headed Gull
Chroicocephalus brunnicephalus,Brown-headed Gull
Hydrocoloeus minutus,Little Gull
Rhodostethia rosea,Ross's Gull
Leucophaeus scoresbii,Dolphin Gull
Leucophaeus modestus,Gray Gull
Leucophaeus atricilla,Laughing Gull
Leucophaeus pipixcan,Franklin's Gull
Leucophaeus fuliginosus,Lava Gull
Ichthyaetus melanocephalus,Mediterranean Gull
Ichthyaetus relictus,Relict Gull
Ichthyaetus leucophthalmus,White-eyed Gull
Ichthyaetus hemprichii,Sooty Gull
Ichthyaetus ichthyaetus,Pallas's Gull
Ichthyaetus audouinii,Audouin's Gull
Larus belcheri,Belcher's Gull
Larus atlanticus,Olrog's Gull
Larus crassirostris,Black-tailed Gull
Larus pacificus,Pacific Gull
Larus heermanni,Heermann's Gull
Larus canus,Common Gull
Larus brachyrhynchus,Short-billed Gull
Larus delawarensis,Ring-billed Gull
Larus occidentalis,Western Gull
Larus livens,Yellow-footed Gull
Larus californicus,California Gull
Larus argentatus,Herring Gull
Larus michahellis,Yellow-legged Gull
Larus cachinnans,Caspian Gull
Larus armenicus,Armenian Gull
Larus glaucoides,Iceland Gull
Larus fuscus,Lesser Black-backed Gull
Larus schistisagus,Slaty-backed Gull
Larus glaucescens,Glaucous-winged Gull
Larus hyperboreus,Glaucous Gull
Larus marinus,Great Black-backed Gull
Larus dominicanus,Kelp Gull
Anous stolidus,Brown Noddy
Anous minutus,Black Noddy
Anous tenuirostris,Lesser Noddy
Anous albivitta,Gray Noddy
Anous ceruleus,Blue-gray Noddy
Gygis alba,White Tern
Onychoprion fuscatus,Sooty Tern
Onychoprion lunatus,Gray-backed Tern
Onychoprion anaethetus,Bridled Tern
Onychoprion aleuticus,Aleutian Tern
Sternula albifrons,Little Tern
Sternula antillarum,Least Tern
Sternula superciliaris,Yellow-billed Tern
Sternula nereis,Australian Fairy Tern
Sternula lorata,Peruvian Tern
Sternula saundersi,Saunders's Tern
Sternula balaenarum,Damara Tern
Phaetusa simplex,Large-billed Tern
Gelochelidon nilotica,Gull-billed Tern
Hydroprogne caspia,Caspian Tern
Larosterna inca,Inca Tern
Chlidonias niger,Black Tern
Chlidonias leucopterus,White-winged Tern
Chlidonias hybrida,Whiskered Tern
Chlidonias albostriatus,Black-fronted Tern
Sterna dougallii,Roseate Tern
Sterna striata,White-fronted Tern
Sterna sumatrana,Black-naped Tern
Sterna hirundo,Common Tern
Sterna paradisaea,Arctic Tern
Sterna hirundinacea,South American Tern
Sterna vittata,Antarctic Tern
Sterna forsteri,Forster's Tern
Sterna trudeaui,Snowy-crowned Tern
Sterna acuticauda,Black-bellied Tern
Sterna aurantia,River Tern
Sterna repressa,White-cheeked Tern
Sterna virgata,Kerguelen Tern
Thalasseus maximus,Royal Tern
Thalasseus bergii,Great Crested Tern
Thalasseus sandvicensis,Sandwich Tern
Thalasseus elegans,Elegant Tern
Thalasseus bengalensis,Lesser Crested Tern
Thalasseus albididorsalis,West African Crested Tern
Thalasseus bernsteini,Chinese Crested Tern
Rynchops niger,Black Skimmer
Rynchops flavirostris,African Skimmer
Rynchops albicollis,Indian Skimmer
Rhynochetos jubatus,Kagu
Eurypyga helias,Sunbittern
Phaethon lepturus,White-tailed Tropicbird
Phaethon aethereus,Red-billed Tropicbird
Phaethon rubricauda,Red-tailed Tropicbird
Gavia stellata,Red-throated Loon
Gavia arctica,Arctic Loon
Gavia pacifica,Pacific Loon
Gavia immer,Common Loon
Gavia adamsii,Yellow-billed Loon
Aptenodytes patagonicus,King Penguin
Aptenodytes forsteri,Emperor Penguin
Pygoscelis adeliae,Adelie Penguin
Pygoscelis papua,Gentoo Penguin
Pygoscelis antarcticus,Chinstrap Penguin
Megadyptes antipodes,Yellow-eyed Penguin
Eudyptula minor,Little Penguin
Spheniscus demersus,African Penguin
Spheniscus humboldti,Humboldt Penguin
Spheniscus mendiculus,Galapagos Penguin
Spheniscus magellanicus,Magellanic Penguin
Eudyptes pachyrhynchus,Fiordland Penguin
Eudyptes sclateri,Erect-crested Penguin
Eudyptes chrysolophus,Macaroni Penguin
Eudyptes schlegeli,Royal Penguin
Eudyptes chrysocome,Southern Rockhopper Penguin
Eudyptes moseleyi,Moseley's Rockhopper Penguin
Eudyptes robustus,Snares Penguin
Thalassarche chlororhynchos,Yellow-nosed Albatross
Thalassarche chrysostoma,Gray-headed Albatross
Thalassarche bulleri,Buller's Albatross
Thalassarche cauta,White-capped Albatross
Thalassarche salvini,Salvin's Albatross
Thalassarche eremita,Chatham Albatross
Thalassarche melanophris,Black-browed Albatross
Phoebetria fusca,Sooty Albatross
Phoebetria palpebrata,Light-mantled Albatross
Diomedea epomophora,Royal Albatross
Diomedea exulans,Wandering Albatross
Phoebastria irrorata,Waved Albatross
Phoebastria immutabilis,Laysan Albatross
Phoebastria nigripes,Black-footed Albatross
Phoebastria albatrus,Short-tailed Albatross
Oceanites oceanicus,Wilson's Storm-Petrel
Oceanites pincoyae,Pincoya Storm-Petrel
Oceanites gracilis,Elliot's Storm-Petrel
Garrodia nereis,Gray-backed Storm-Petrel
Pelagodroma marina,White-faced Storm-Petrel
Fregetta grallaria,White-bellied Storm-Petrel
Fregetta maoriana,New Zealand Storm-Petrel
Fregetta tropica,Black-bellied Storm-Petrel
Nesofregetta fuliginosa,Polynesian Storm-Petrel
Hydrobates pelagicus,European Storm-Petrel
Hydrobates furcatus,Fork-tailed Storm-Petrel
Hydrobates hornbyi,Ringed Storm-Petrel
Hydrobates leucorhous,Leach's Storm-Petrel
Hydrobates socorroensis,Townsend's Storm-Petrel
Hydrobates cheimomnestes,Ainley's Storm-Petrel
Hydrobates monorhis,Swinhoe's Storm-Petrel
Hydrobates homochroa,Ashy Storm-Petrel
Hydrobates castro,Band-rumped Storm-Petrel
Hydrobates monteiroi,Monteiro's Storm-Petrel
Hydrobates jabejabe,Cape Verde Storm-Petrel
Hydrobates tethys,Wedge-rumped Storm-Petrel
Hydrobates melania,Black Storm-Petrel
Hydrobates macrodactyla,Guadalupe Storm-Petrel
Hydrobates markhami,Markham's Storm-Petrel
Hydrobates matsudairae,Matsudaira's Storm-Petrel
Hydrobates tristrami,Tristram's Storm-Petrel
Hydrobates microsoma,Least Storm-Petrel
Macronectes giganteus,Southern Giant-Petrel
Macronectes halli,Northern Giant-Petrel
Fulmarus glacialis,Northern Fulmar
Fulmarus glacialoides,Southern Fulmar
Thalassoica antarctica,Antarctic Petrel
Daption capense,Cape Petrel
Pagodroma nivea,Snow Petrel
Aphrodroma brevirostris,Kerguelen Petrel
Pterodroma rupinarum,Large St. Helena Petrel
Pterodroma macroptera,Great-winged Petrel
Pterodroma gouldi,Gray-faced Petrel
Pterodroma neglecta,Kermadec Petrel
Pterodroma magentae,Magenta Petrel
Pterodroma arminjoniana,Trindade Petrel
Pterodroma heraldica,Herald Petrel
Pterodroma ultima,Murphy's Petrel
Pterodroma solandri,Providence Petrel
Pterodroma atrata,Henderson Petrel
Pterodroma madeira,Zino's Petrel
Pterodroma feae,Fea's Petrel
Pterodroma mollis,Soft-plumaged Petrel
Pterodroma baraui,Barau's Petrel
Pterodroma lessonii,White-headed Petrel
Pterodroma inexpectata,Mottled Petrel
Pterodroma cahow,Bermuda Petrel
Pterodroma hasitata,Black-capped Petrel
Pterodroma externa,Juan Fernandez Petrel
Pterodroma incerta,Atlantic Petrel
Pterodroma phaeopygia,Galapagos Petrel
Pterodroma sandwichensis,Hawaiian Petrel
Pterodroma cervicalis,White-necked Petrel
Pterodroma hypoleuca,Bonin Petrel
Pterodroma nigripennis,Black-winged Petrel
Pterodroma axillaris,Chatham Petrel
Pterodroma cookii,Cook's Petrel
Pterodroma defilippiana,Masatierra Petrel
Pterodroma leucoptera,Gould's Petrel
Pterodroma brevipes,Collared Petrel
Pterodroma longirostris,Stejneger's Petrel
Pterodroma pycrofti,Pycroft's Petrel
Pterodroma alba,Phoenix Petrel
Pterodroma occulta,Vanuatu Petrel
