0.000000	1.311267	Emb cir 1 1 1
\	2860.191650	6024.167480
0.000000	9.725232	Str dec 1 1 1
\	298.028839	846.643555
1.580245	3.521929	Lus meg 0 1 4
\	1630.039429	4368.721680
2.488045	3.900179	Tur mer 1 1 4
\	1440.628418	2760.982422
4.118724	5.951136	Emb cir 1 1 1
\	3067.223389	6415.190918
4.707113	6.463875	Lus meg 1 1 4
\	983.496460	8606.568359
6.497497	9.296548	Syl atr 1 1 1
\	2139.757812	4022.951660
8.766998	10.775926	Lus meg 1 1 4
\	1696.830566	4368.721680
9.372198	10.868388	Emb cir 1 1 4
\	3578.134033	6315.354980
10.607815	49.088464	Vent
\	84.899475	-1.000000
14.381911	15.978967	Emb cir 1 1 4
\	3286.294922	6119.860840
14.432345	16.306784	Lus meg 1 1 4
\	1440.628418	5836.790039
18.542663	19.904363	Lus meg 1 1 1
\	1565.109741	5138.060059
19.803497	21.652720	Emb cir 1 1 1
\	3014.363037	5654.633301
24.493799	26.343022	Lus meg 1 1 1
\	1184.986450	7154.986816
28.469628	30.503773	Emb cir 1 1 1
\	3230.361328	6119.860840
30.503773	32.773274	Lus meg 1 1 1
\	983.496460	6723.308105
33.134713	34.899880	Emb cir 1 1 1
\	2962.245117	6024.167480
35.866520	36.135498	Oiseau sp. 1 1
\	2760.982422	3826.915039
36.530559	38.085587	Lus meg 1 1 1
\	1239.019653	4975.375000
38.514271	40.279438	Emb cir 1 1 1
\	2712.419189	6119.860840
39.127877	40.229005	Pic vir 0 1 1
\	1388.234497	2567.878906
41.077966	42.733861	Oiseau sp. 1 1
\	4272.755859	6555.966309
41.716789	43.540795	Lus meg 1 1 1
\	1380.977051	6315.354980
44.448595	46.213763	Emb cir 1 1 1
\	2712.419189	6315.354980
46.734907	47.533435	Lus meg 1 1 1
\	1471.092285	6119.860840
48.020958	48.466452	Oiseau sp. 1 1
\	992.831116	2062.697998
48.811080	50.273648	Sax ola 1 1 1
\	1908.911499	7044.770020
50.542626	52.358226	Emb cir 1 1 1
\	2617.327881	6119.860840
52.610393	54.543672	Lus meg 1 1 1
\	1351.777466	6516.448242
54.669755	55.955805	Sax ola 1 1 1
\	1630.039429	7850.028320
57.325912	59.107890	Emb cir 1 1 4
\	2570.780518	6415.190918
57.729378	58.620368	Oiseau sp. 1 4
\	1836.210205	3400.562744
58.267334	59.107890	Non identifie
\	326.637390	1007.454773
59.158323	59.965257	Syl atr 0 1 1
\	2099.911621	4090.164795
